上場年,証券番号,企業名,主幹事,備考
2013,6073,アサンテ,三菱,
2013,7215,ファルテック,大和,
2013,9025,鴻池運輸,大和,
2013,2588,ウォーターダイレクト,野村,
2013,3672,オルトプラス,野村,
2013,3182,オイシックス,みずほ,
2013,3671,ソフトマックス,野村,
2013,3670,協立情報通信,みずほ,
2013,3181,買取王国,野村,
2013,3180,ビューティガレージ,SBI,
2013,3283,日本プロロジスリート投資法人,日興,J-REIT
2013,4586,メドレックス,野村,
2013,3282,コンフォリア・レジデンシャル投資法人,みずほ,J-REIT
2014,6034,ＭＲＴ,大和,
2014,7815,東京ボード工業,東海東京,
2014,3904,カヤック,大和,
2014,6033,エクストリーム,大和,
2014,3199,綿半ホールディングス,みずほ,
2014,3221,ヨシックス,野村,
2014,3905,データセクション,大和,
2014,9517,イーレックス,野村,
2014,6032,インターワークス,大和,
2014,6031,サイジニア,日興,
2014,9551,メタウォーター,野村,
2014,6030,アドベンチャー,大和,
2014,2883,大冷,三菱,
2014,3903,gumi,野村,
2014,2586,フルッタフルッタ,日興,
2014,7175,今村証券,みずほ,
2014,4248,竹本容器,大和,
2014,6029,アトラ,野村,
2014,9418,Ｕ－ＮＥＸＴ,大和,
2014,3901,マークラインズ,SBI,
2014,3902,メディカル・データ・ビジョン,日興,
2014,3198,ＳＦＰダイニング,みずほ,
2014,6028,テクノプロ・ホールディングス,野村,
2014,3900,クラウドワークス,大和,
2014,6026,ＧＭＯＴＥＣＨ,大和,
2014,3452,ビーロット,SBI,
2014,7816,スノーピーク,日興,
2014,6027,弁護士ドットコム,野村,
2014,3309,積水ハウス・リート投資法人,野村,J-REIT
2014,3698,ＣＲＩ・ミドルウェア,HS,
2014,3451,トーセイ・リート投資法人,大和,J-REIT
2014,6025,日本ＰＣサービス,東海東京,
2014,3697,ＳＨＩＦＴ,野村,
2014,6099,エラン,野村,
2014,3308,日本ヘルスケア投資法人,大和,J-REIT
2014,9467,アルファポリス,大和,
2014,3696,セレス,SBI,
2014,3694,オプティム,大和,
2014,3695,ＧＭＯリサーチ,大和,
2014,6098,リクルートホールディングス,野村,
2014,3197,すかいらーく,野村,
2014,6240,ヤマシンフィルタ,野村,
2014,3692,ＦＦＲＩ,野村,
2014,3196,ホットランド,大和,
2014,4591,リボミック,大和,
2014,3195,ジェネレーションパス,野村,
2014,3300,ＡＭＢＩＴＩＯＮ,SBI,
2014,3691,リアルワールド,大和,
2014,3690,ロックオン,野村,
2014,7172,ジャパンインベストメントアドバイザー,SBI,
2014,6097,日本ビューホテル,大和,
2014,3689,イグニス,野村,
2014,3193,鳥貴族,大和,
2014,3688,ＶＯＹＡＧＥＧＲＯＵＰ,野村,
2014,6095,メドピア,野村,
2014,6096,レアジョブ,大和,
2014,9415,ジャパンケーブルキャスト,大和,上場中止
2014,4979,ＯＡＴアグリオ,大和,
2014,4247,ポバール興業,東海東京,
2014,6094,フリークアウト,野村,
2014,3299,ムゲンエステート,いちよし,
2014,7169,ニュートン・フィナンシャル・コンサルティング,みずほ,
2014,3298,インベスコ・オフィス・ジェイリート投資法人,日興,J-REIT
2014,3297,東武住販,東洋,
2014,3296,日本リート投資法人,三菱,J-REIT
2014,9024,西武ホールディングス,みずほ,
2014,3687,フィックスターズ,三菱,
2014,3192,白鳩,野村,
2014,3191,ジョイフル本田,三菱,
2014,6616,トレックス・セミコンダクター,野村,
2014,9090,丸和運輸機関,みずほ,
2014,6093,エスクロー・エージェント・ジャパン,大和,
2014,7779,ＣＹＢＥＲＤＹＮＥ,日興,
2014,3686,ディー・エル・イー,野村,
2014,3685,みんなのウェディング,野村,
2014,3190,ホットマン,日興,
2014,6740,ジャパンディスプレイ,野村,
2014,6810,日立マクセル,日興,
2014,4246,ダイキョーニシカワ,野村,
2014,9414,日本ＢＳ放送,野村,
2014,6092,エンバイオ・ホールディングス,日興,
2014,3683,サイバーリンクス,みずほ,
2014,4589,アキュセラ・インク(Acucela Inc.),三菱,
2014,3295,ヒューリックリート投資法人,みずほ,J-REIT
2015,6186,一蔵,野村,
2015,4930,グラフィコ,大和,上場中止
2015,3929,ソーシャルワイヤー,SBI,
2015,3465,ケイアイスター不動産,大和,
2015,6185,ソネット・メディア・ネットワークス,大和,
2015,3464,プロパティエージェント,野村,
2015,3928,マイネット,大和,
2015,9416,ビジョン,みずほ,
2015,6238,フリュー,野村,
2015,3927,アークン,日興,
2015,3419,アートグリーン,HS,
2015,3926,オープンドア,みずほ,
2015,4595,ミズホメディー,三菱,
2015,6464,ツバキ・ナカシマ,野村,
2015,3925,ダブルスタンダード,SBI,
2015,3924,ランドコンピュータ,野村,
2015,3923,ラクス,みずほ,
2015,6184,鎌倉新書,日興,
2015,1435,インベスターズクラウド,SBI,
2015,3463,いちごホテルリート投資法人,日興,J-REIT
2015,3921,ネオジャパン,日興,
2015,6183,ベルシステム２４ホールディングス,日興,
