no,security code,company name,lead manager,offering year,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
212,3900,クラウドワークス,大和,2014,1212,760,1316,100,720,760,2127500,1650000,200000,277500,2011,情報・通信業,マザーズ
213,6028,テクノプロ・ホールディングス,野村,2014,1215,1950,1852,100,1800,1950,27255000,0,23700000,3555000,2006,サービス業,東証1部
214,3198,ＳＦＰダイニング,みずほ,2014,1216,1940,1620,100,1740,2040,7455000,7100000,0,355000,2010,小売業,東証2部
215,3902,メディカル・データ・ビジョン,日興,2014,1216,5180,12220,100,4980,5180,276600,170000,70600,36000,2003,情報・通信業,マザーズ
216,3901,マークラインズ,SBI,2014,1216,1980,3510,100,1780,1980,327200,214800,97400,15000,2001,情報・通信業,JASDAQスタンダード
217,9418,Ｕ－ＮＥＸＴ,大和,2014,1216,3000,3950,100,2910,3000,1564000,960000,400000,204000,2009,情報・通信業,マザーズ
218,6029,アトラ,野村,2014,1216,740,1313,100,690,740,920000,700000,100000,120000,2005,サービス業,マザーズ
219,4248,竹本容器,大和,2014,1217,900,918,100,880,900,862500,445000,305000,112500,1953,化学,東証2部
220,7175,今村証券,みずほ,2014,1217,1350,1720,100,1150,1350,575000,500000,0,75000,1944,証券商品先物,JASDAQスタンダード
221,2586,フルッタフルッタ,日興,2014,1217,4290,6500,100,4130,4290,253000,100000,120000,33000,2002,食料品,マザーズ
222,3903,gumi,野村,2014,1218,3300,3300,100,3000,3300,13647200,1500000,10367200,1780000,2007,情報・通信業,東証1部
223,2883,大冷,三菱,2014,1218,1800,1680,100,1700,1800,1725000,700000,800000,225000,1972,食料品,東証2部
224,6030,アドベンチャー,大和,2014,1218,2500,5680,100,2300,2500,379500,330000,0,49500,2006,サービス業,マザーズ
225,9551,メタウォーター,野村,2014,1219,2400,2256,100,2400,2550,11500000,10000000,0,1500000,2008,電気・ガス業,東証1部
226,6031,サイジニア,日興,2014,1219,2560,5780,100,2280,2560,453600,258500,136000,59100,2005,サービス業,マザーズ
227,6032,インターワークス,大和,2014,1222,1750,2043,100,1720,1750,1058000,270000,650000,138000,1999,サービス業,マザーズ
228,9517,イーレックス,野村,2014,1222,1170,1301,100,1120,1170,4600000,4000000,0,600000,1999,電気・ガス業,マザーズ
229,3905,データセクション,大和,2014,1224,520,900,100,460,520,2541500,850000,1360000,331500,2000,情報・通信業,マザーズ
230,3221,ヨシックス,野村,2014,1224,2640,3415,100,2490,2640,431200,225000,150000,56200,1985,小売業,JASDAQスタンダード
231,3199,綿半ホールディングス,みずほ,2014,1224,640,680,100,540,640,2771500,1400000,1010000,361500,1949,小売業,東証2部
232,6033,エクストリーム,大和,2014,1225,1400,5550,100,1320,1400,287500,250000,0,37500,2005,サービス業,マザーズ
233,3904,カヤック,大和,2014,1225,560,1803,100,530,560,1585800,989000,390000,206800,2005,情報・通信業,マザーズ
234,7815,東京ボード工業,東海東京,2014,1225,2180,2005,100,1980,2180,520000,100000,360000,60000,1947,その他製品,東証2部
235,6034,ＭＲＴ,大和,2014,1226,800,3275,100,750,800,839500,480000,250000,109500,2000,サービス業,マザーズ
236,6036,KeePer技研,東海東京,2015,212,2120,3160,100,2000,2120,920000,600000,200000,120000,1993,サービス業,マザーズ
237,6037,ファーストロジック,大和,2015,218,1770,2700,100,1600,1770,770500,600000,70000,100500,2005,サービス業,マザーズ
238,3454,ファーストブラザーズ,野村,2015,218,2040,2090,100,1920,2040,2875000,1300000,1200000,375000,2004,不動産業,マザーズ
239,3906,ALBERT,SBI,2015,219,2800,6040,100,2600,2800,355100,200000,108800,46300,2005,情報・通信業,マザーズ
240,1384,ホクリヨウ,野村,2015,220,460,501,100,430,460,2530000,1300000,900000,330000,1949,水産・農林業,東証2部
241,3907,シリコンスタジオ,みずほ,2015,223,4900,9900,100,4200,4900,632500,270000,280000,82500,1999,情報・通信業,マザーズ
242,3910,エムケイシステム,岡三,2015,317,3500,15120,100,3300,3500,161000,80000,60000,21000,1989,情報・通信業,JASDAQスタンダード
243,3908,コラボス,日興,2015,317,3620,8600,100,3260,3620,187400,83400,79600,24400,2001,情報・通信業,マザーズ
244,3223,エスエルディー,みずほ,2015,319,1650,1903,100,1500,1650,290900,150000,103000,37900,2004,小売業,JASDAQスタンダード
245,3224,ヒューマンウェブ,日興,2015,319,1800,2010,100,1700,1800,439600,200000,182300,57300,2000,小売業,マザーズ
246,3909,ショーケース・ティービー,野村,2015,319,1800,5290,100,1680,1800,345000,150000,150000,45000,1996,情報・通信業,マザーズ
247,1430,ファーストコーポレーション,みずほ,2015,324,1600,2000,100,1530,1600,738800,252500,390000,96300,2011,建設業,マザーズ
248,6038,イード,野村,2015,324,1400,2050,100,1300,1400,1091000,350000,598700,142300,2000,サービス業,マザーズ
249,3445,ＲＳＴｅｃｈｎｏｌｏｇｉｅｓ,SBI,2015,324,2750,2100,100,2550,2750,1242000,330000,750000,162000,2010,金属製品,マザーズ
250,3131,シンデン・ハイテックス,日興,2015,325,2740,3075,100,2640,2740,144900,100000,26000,18900,1995,卸売業,JASDAQスタンダード
251,3457,ハウスドゥ,日興,2015,325,3600,5300,100,3430,3600,214000,123000,63100,27900,2009,不動産業,マザーズ
252,3911,Aiming,野村,2015,325,920,1032,100,900,920,6440000,2400000,3200000,840000,2011,情報・通信業,マザーズ
253,6039,日本動物高度医療センター,日興,2015,326,1130,1630,100,1080,1130,834000,133000,592300,108700,2005,サービス業,マザーズ
254,7813,プラッツ,大和,2015,326,3260,5550,100,3000,3260,185600,120000,41400,24200,1992,その他製品,マザーズ
255,3912,モバイルファクトリー,SBI,2015,326,1410,2812,100,1310,1410,1081000,245000,702000,134000,2001,情報・通信業,マザーズ
256,3913,sMedio,日興,2015,327,2520,4000,100,2400,2520,432500,168400,209100,55000,2007,情報・通信業,マザーズ
257,4592,サンバイオ,野村,2015,408,2000,1710,100,1600,2000,7475000,4000000,2500000,975000,2013,医薬品,マザーズ
258,3133,海帆,野村,2015,417,1020,1800,100,950,1020,690000,300000,300000,90000,2003,小売業,マザーズ
259,3134,Ｈａｍｅｅ,みずほ,2015,420,2530,4230,100,2230,2530,456500,310000,87000,59500,1998,小売業,マザーズ
260,3458,シーアールイー,日興,2015,421,3620,3355,100,3450,3620,1676500,1457900,0,218600,2009,不動産業,東証2部
261,6040,日本スキー場開発,野村,2015,422,3570,3925,100,3330,3570,715300,62000,560000,93300,2005,サービス業,マザーズ
262,6045,レントラックス,SBI,2015,424,1750,2680,100,1630,1750,424000,369000,0,55000,2005,サービス業,マザーズ
263,6044,三機サービス,野村,2015,424,1540,2112,100,1440,1540,575000,250000,250000,75000,1977,サービス業,JASDAQスタンダード
264,3914,ジグソー,日興,2015,428,2390,8040,100,2090,2390,287500,200000,50000,37500,2001,情報・通信業,マザーズ
265,6047,Gunosy,野村,2015,428,1520,1520,100,1460,1520,6796500,3500000,2410000,886500,2012,サービス業,マザーズ
266,6046,リンクバル,SMBC,2015,428,2400,3070,100,2100,2400,880000,250000,550000,80000,2011,サービス業,マザーズ
267,6048,デザインワン・ジャパン,みずほ,2015,430,2750,4150,100,2450,2750,690000,400000,200000,90000,2005,サービス業,マザーズ
268,3915,テラスカイ,大和,2015,430,1700,7650,100,1580,1700,230000,200000,0,30000,2006,情報・通信業,マザーズ
269,9417,スマートバリュー,大和,2015,616,1580,7030,100,1500,1580,391000,280000,60000,51000,1947,情報・通信業,JASDAQスタンダード
270,4593,ヘリオス,野村,2015,616,1200,1470,100,1100,1200,6969000,6060000,0,909000,2011,医薬品,マザーズ
271,3135,マーケットエンタープライズ,日興,2015,617,1500,4005,100,1430,1500,494500,200000,230000,64500,2006,小売業,マザーズ
272,3916,デジタル・インフォメーション・テクノロジー,SMBC,2015,618,1300,4500,100,1200,1300,552000,250000,230000,72000,2002,情報・通信業,JASDAQスタンダード
273,3136,エコノス,岡三,2015,624,600,1320,100,550,600,184000,100000,60000,24000,1964,小売業,札証アンビシャス
274,6166,中村超硬,野村,2015,624,1700,1901,100,1640,1700,2245900,600000,1353000,292900,1970,機械,マザーズ
275,6167,冨士ダイス,野村,2015,625,530,800,100,500,530,5077000,0,5077000,662000,1956,機械,東証2部
276,7780,メニコン,大和,2015,625,1700,2950,100,1630,1700,2645000,1500000,800000,345000,1943,精密機器,東証1部
277,3137,ファンデリー,日興,2015,625,765,1546,100,725,765,1156900,300000,706000,150900,2000,小売業,マザーズ
278,6239,ナガオカ,日興,2015,629,1600,2250,100,1440,1600,450000,300000,100000,50000,2004,機械,JASDAQスタンダード
279,3138,富士山マガジンサービス,みずほ,2015,707,2650,6000,100,2500,2650,206700,50000,129800,26900,2002,小売業,マザーズ
280,7812,クレステック,三菱,2015,708,960,1751,100,910,960,463900,191000,213900,59000,1984,その他製品,JASDAQスタンダード
281,7781,平山,みずほ,2015,710,2130,2758,100,2030,2130,483000,260000,160000,63000,1967,精密機器,JASDAQスタンダード
282,3917,アイリッジ,野村,2015,716,1200,6350,100,1150,1200,379500,250000,80000,49500,2008,情報・通信業,マザーズ
283,4980,デクセリアルズ,大和,2015,729,1600,1550,100,1450,1600,54049000,0,49363000,4686000,2012,化学,東証1部
284,6049,イトクロ,日興,2015,730,1930,2010,100,1630,1930,3358000,1230000,1690000,438000,2006,サービス業,マザーズ
285,3918,ＰＣＩホールディングス,みずほ,2015,804,2530,6820,100,2330,2530,414000,200000,160000,54000,2005,情報・通信業,マザーズ
286,1431,エスケーホーム,岡三,2015,805,800,910,100,740,800,172500,150000,0,22500,1997,建設業,福証Qボード
287,3461,パルマ,いちよし,2015,811,1350,2302,100,1250,1350,450000,235000,165000,50000,1969,不動産業,マザーズ
288,6171,土木管理総合試験所,野村,2015,826,1250,1220,100,1200,1250,1299500,700000,430000,169500,1985,サービス業,東証2部
289,3139,ラクト・ジャパン,野村,2015,828,1400,1400,100,1300,1400,1580100,780000,594000,206100,1998,卸売業,東証2部
290,6172,メタップス,日興,2015,828,3300,3040,100,3000,3300,3003000,1152000,1578000,273000,2007,サービス業,マザーズ
291,6173,アクアライン,いちよし,2015,831,1250,1521,100,1150,1250,340000,300000,0,40000,1995,サービス業,マザーズ
292,3415,ＳＴＵＤＩＯＵＳ,日興,2015,902,2870,3440,100,2770,2870,384100,119000,215000,50100,2008,小売業,マザーズ
293,1433,ベステラ,東海東京,2015,902,2500,3125,100,2400,2500,299000,220000,40000,39000,1974,建設業,マザーズ
294,1434,ＪＥＳＣＯホールディングス,野村,2015,908,540,569,100,510,540,2300000,1600000,400000,300000,1970,建設業,東証2部
295,3416,ピクスタ,野村,2015,914,1870,2521,100,1830,1870,526300,180000,277900,68400,2005,小売業,マザーズ
296,3920,アイビーシー,野村,2015,915,2920,10250,100,2840,2920,425200,160000,209800,55400,2002,情報・通信業,マザーズ
297,6176,ブランジスタ,大和,2015,917,450,647,100,400,450,2760000,1200000,1200000,360000,2000,サービス業,マザーズ
298,6177,ＡｐｐＢａｎｋ,野村,2015,1015,1200,1750,100,1140,1200,1485800,178000,1114000,193800,2012,サービス業,マザーズ
299,4594,グリーンペプタイド,みずほ,2015,1022,450,414,100,450,550,14435800,6500000,6052900,1882900,2003,医薬品,マザーズ
300,6180,ＧＭＯメディア,大和,2015,1023,2740,5510,100,2500,2740,539100,396000,72800,70300,2000,サービス業,マザーズ
301,6181,パートナーエージェント,日興,2015,1027,1260,4000,100,1160,1260,662400,248000,328000,86400,2004,サービス業,マザーズ
302,3418,バルニバービ,日興,2015,1028,2500,5750,100,2350,2500,566900,255000,238000,73900,1991,小売業,マザーズ
303,7182,ゆうちょ銀行,野村,2015,1104,1450,1680,100,1250,1450,412442300,0,412442300,0,2006,銀行業,東証1部
304,7181,かんぽ生命保険,野村,2015,1104,2200,2929,100,1900,2200,66000000,0,66000000,0,2006,保険業,東証1部
305,6178,日本郵政,野村,2015,1104,1400,1631,100,1100,1400,495000000,0,495000000,0,2006,サービス業,東証1部
306,7183,あんしん保証,SBI,2015,1119,1460,5730,100,1320,1460,240000,110000,100000,30000,2002,その他金融業,マザーズ
307,6182,ロゼッタ,日興,2015,1119,695,3705,100,645,695,400000,347900,0,52100,1952,サービス業,マザーズ
308,6183,ベルシステム２４ホールディングス,日興,2015,1120,1555,1478,100,1500,1720,37378300,3102900,29400000,4875400,2014,サービス業,東証1部
309,3921,ネオジャパン,日興,2015,1127,2900,14550,100,2710,2900,253000,110000,110000,33000,1992,情報・通信業,マザーズ
310,1435,インベスターズクラウド,SBI,2015,1203,1870,3615,100,1730,1870,1253500,420000,670000,163500,2006,建設業,マザーズ
311,6184,鎌倉新書,日興,2015,1204,1000,2806,100,920,1000,575000,150000,350000,75000,1984,サービス業,マザーズ
312,3923,ラクス,みずほ,2015,1209,1080,3550,100,920,1080,460000,400000,0,60000,2000,情報・通信業,マザーズ
313,3924,ランドコンピュータ,野村,2015,1211,1760,3580,100,1710,1760,487000,323500,100000,63500,2015,情報・通信業,東証2部
314,3925,ダブルスタンダード,SBI,2015,1215,2190,5010,100,2030,2190,705000,200000,475000,30000,2012,情報・通信業,マザーズ
315,6464,ツバキ・ナカシマ,野村,2015,1216,1550,1620,100,1500,1650,20228000,0,19264700,963300,2007,機械,東証1部
315,6464,ツバキ・ナカシマ,野村,2015,1216,1550,1620,100,1500,1650,20228000,0,19264700,963300,2007,機械,東証1部
316,4595,ミズホメディー,三菱,2015,1217,1100,2822,100,980,1100,374900,217500,108500,48900,1977,医薬品,JASDAQスタンダード
317,3926,オープンドア,みずほ,2015,1217,3820,4710,100,3500,3820,943000,50000,773000,120000,1997,情報・通信業,マザーズ
318,3419,アートグリーン,HS,2015,1218,420,614,100,380,420,230000,200000,0,30000,1991,卸売業,名証セントレックス
319,3927,アークン,日興,2015,1218,1360,4925,100,1230,1360,575000,300000,200000,75000,2001,情報・通信業,マザーズ
320,6238,フリュー,野村,2015,1218,3200,3220,100,3000,3200,1683600,732000,732000,219600,2006,機械,東証1部
321,9416,ビジョン,みずほ,2015,1221,2000,2213,100,1800,2000,2639200,1870000,425000,344200,2001,情報・通信業,マザーズ
322,3928,マイネット,大和,2015,1221,1680,2005,100,1500,1680,982100,600000,254000,128100,2006,情報・通信業,マザーズ
323,3464,プロパティエージェント,野村,2015,1222,1400,3010,100,1360,1400,575000,460000,40000,75000,2004,不動産業,JASDAQスタンダード
324,6185,ソネット・メディア・ネットワークス,大和,2015,1222,2300,5500,100,2150,2300,690000,600000,0,90000,2000,サービス業,マザーズ
325,3465,ケイアイスター不動産,大和,2015,1224,1200,1282,100,1130,1200,2415000,1050000,1050000,315000,1990,不動産業,東証2部
326,3929,ソーシャルワイヤー,SBI,2015,1224,1600,2511,100,1480,1600,621000,170000,370000,81000,2006,情報・通信業,マザーズ
327,6186,一蔵,野村,2015,1225,1210,1236,100,1150,1210,2313900,1500000,512100,301800,1991,サービス業,東証2部
328,3930,はてな,日興,2016,224,800,3025,100,700,800,868200,370000,385000,113200,2001,情報・通信業,マザーズ
329,3931,バリューゴルフ,東海東京,2016,302,1280,3215,100,1220,1280,368000,320000,0,48000,2016,情報・通信業,マザーズ
330,7811,中本パックス,野村,2016,303,1470,1480,100,1440,1470,1288900,550000,570800,168100,1988,その他製品,東証2部
331,2884,ヨシムラ・フード・ホールディングス,大和,2016,304,880,1320,100,820,880,345000,300000,0,45000,2008,食料品,マザーズ
332,2424,ブラス,東海東京,2016,309,4370,4650,100,4000,4370,230000,200000,0,30000,1998,サービス業,マザーズ
333,1436,フィット,SBI,2016,311,1890,1741,100,1750,1890,1170000,1070000,0,100000,2009,建設業,マザーズ
334,6187,LITALICO,野村,2016,314,1000,1880,100,930,1000,1768700,320000,1218000,230700,2005,サービス業,マザーズ
335,7184,富山第一銀行,大和,2016,315,470,500,100,440,470,6500000,5660000,0,840000,1944,銀行業,東証1部
336,6615,ユー・エム・シー・エレクトロニクス,みずほ,2016,315,3000,2480,100,3000,3100,2372400,1613000,450000,309400,1968,電気機器,東証1部
337,6188,富士ソフトサービスビューロ,野村,2016,315,890,1010,100,800,890,809600,352000,352000,105600,1984,サービス業,JASDAQスタンダード
338,3537,昭栄薬品,大和,2016,316,1350,2001,100,1330,1350,345000,200000,100000,45000,1960,卸売業,JASDAQスタンダード
339,3932,アカツキ,野村,2016,317,1930,1775,100,1800,1930,3795000,2200000,1100000,495000,2010,情報・通信業,マザーズ
340,9466,アイドママーケティングコミュニケーション,みずほ,2016,318,1440,1230,100,1300,1440,1840000,700000,900000,240000,1979,情報・通信業,マザーズ
341,6237,イワキ（銘柄名：イワキポンプ）,大和,2016,318,2000,2050,100,1900,2000,690000,600000,0,90000,1956,機械,東証2部
342,6190,フェニックスバイオ,日興,2016,318,2400,2350,100,1800,2400,471500,300000,110000,61500,2002,サービス業,マザーズ
343,6189,グローバルグループ,いちよし,2016,318,2000,3200,100,1900,2000,2076300,1250000,576300,250000,2015,サービス業,マザーズ
344,3467,アグレ都市デザイン,みずほ,2016,318,1730,3505,100,1670,1730,276000,240000,0,36000,2009,不動産業,JASDAQスタンダード
345,7185,ヒロセ通商,野村,2016,318,830,830,100,800,830,1265000,570000,530000,165000,2004,証券商品先物,JASDAQスタンダード
346,3933,チエル,みずほ,2016,322,810,2151,100,730,810,525500,140000,317000,68500,1997,情報・通信業,JASDAQスタンダード
347,3934,ベネフィットジャパン,大和,2016,324,1980,3310,100,1680,1980,517500,250000,200000,67500,1996,情報・通信業,マザーズ
348,3538,ウイルプラスホールディングス,みずほ,2016,324,1880,1729,100,1730,1880,602700,400100,124000,78600,2007,小売業,JASDAQスタンダード
349,6191,エボラブルアジア,SBI,2016,331,1800,2670,100,1660,1800,1146700,620000,377200,149500,2007,サービス業,マザーズ
350,3922,ＰＲＴＩＭＥＳ,SBI,2016,331,1340,2130,100,1220,1340,874000,460000,300000,114000,2005,情報・通信業,マザーズ
351,6192,ハイアス・アンド・カンパニー,日興,2016,405,950,2750,100,850,950,540000,470000,0,70000,2005,サービス業,マザーズ
352,3504,丸八ホールディングス,東海東京,2016,408,680,757,100,620,680,1823800,1016000,642000,165800,2012,繊維製品,名証2部
353,3935,エディア,SBI,2016,415,1630,3165,100,1510,1630,279400,160000,83000,36400,1999,情報・通信業,マザーズ
354,3936,グローバルウェイ,大和,2016,419,2960,14000,100,2760,2960,149500,100000,30000,19500,2004,情報・通信業,マザーズ
355,3539,ジャパンミート,みずほ,2016,421,1010,1040,100,910,1010,4830000,3750000,450000,630000,1978,小売業,東証2部
356,6195,ホープ,みずほ,2016,615,1400,3220,100,1300,1400,308700,110000,158500,40200,1993,サービス業,マザーズ
357,6194,アトラエ,大和,2016,615,5400,12720,100,5030,5400,257600,95000,129000,33600,2003,サービス業,マザーズ
358,3541,農業総合研究所,大和,2016,616,1050,1870,100,1010,1050,425500,270000,100000,55500,2007,卸売業,マザーズ
359,2820,やまみ,みずほ,2016,617,1690,1751,100,1650,1690,1230500,720000,350000,160500,1975,食料品,JASDAQスタンダード
360,6196,ストライク,日興,2016,621,3440,7770,100,2940,3440,261600,166000,61500,34100,1997,サービス業,マザーズ
361,3937,ＡＷＳホールディングス,SBI,2016,621,2490,8350,100,2290,2490,126500,110000,0,16500,2005,情報・通信業,マザーズ
362,7187,ジェイリース,みずほ,2016,622,3100,4170,100,3000,3100,327000,150000,135000,42000,2004,その他金融業,マザーズ
363,6193,バーチャレクス・コンサルティング,野村,2016,623,1090,1235,100,1030,1090,1246600,120000,964000,162600,1999,サービス業,マザーズ
364,6198,キャリア,日興,2016,627,1950,3870,100,1850,1950,569200,150000,345000,74200,2009,サービス業,マザーズ
365,3542,ベガコーポレーション,野村,2016,628,1600,2000,100,1440,1600,966000,410000,430000,126000,2004,小売業,マザーズ
366,3543,コメダホールディングス,大和,2016,629,1960,1867,100,1780,1960,30700000,0,26700000,4000000,2014,卸売業,東証1部
367,6197,ソラスト,日興,2016,629,2300,1222,100,1270,1400,11310000,0,9835000,1475000,1968,サービス業,東証1部
368,6199,セラク,日興,2016,701,1500,3900,100,1360,1500,936100,406000,408000,122100,1987,サービス業,マザーズ
369,3938,LINE,野村,2016,715,3300,4900,100,2900,3300,40250000,35000000,0,5250000,2000,情報・通信業,東証1部
370,6200,インソース,みずほ,2016,721,520,810,100,460,520,2242500,700000,1250000,292500,2002,サービス業,マザーズ
371,3469,デュアルタップ,SBI,2016,721,1110,2520,100,1010,1110,506000,200000,240000,66000,2006,不動産業,JASDAQスタンダード
372,6531,リファインバース,大和,2016,728,1700,2770,100,1500,1700,189500,90000,74800,24700,2003,サービス業,マザーズ
373,3545,デファクトスタンダード,大和,2016,831,1630,2300,100,1500,1630,1265000,1100000,0,165000,2004,小売業,マザーズ
374,6532,ベイカレント・コンサルティング,野村,2016,902,2100,1963,100,2100,2360,13489900,50000,11680400,1759500,2014,サービス業,マザーズ
375,6533,デジタルアイデンティティ,みずほ,2016,914,1540,2900,100,1400,1540,414500,130000,230500,54000,2009,サービス業,マザーズ
376,3939,カナミックネットワーク,野村,2016,914,3000,8600,100,2760,3000,253000,54000,166000,33000,2000,情報・通信業,マザーズ
377,3547,串カツ田中,大和,2016,914,3900,4425,100,3610,3900,416800,250000,112500,54300,2002,小売業,マザーズ
378,3940,ノムラシステムコーポレーション,みずほ,2016,916,960,1450,100,920,960,547900,342000,134500,71400,1986,情報・通信業,JASDAQスタンダード
379,3960,バリューデザイン,日興,2016,926,2040,4315,100,1860,2040,336900,268000,25000,43900,2006,情報・通信業,マザーズ
380,3962,チェンジ,SBI,2016,927,1200,2999,100,1080,1200,490000,280000,210000,0,2003,情報・通信業,マザーズ
381,3961,シルバーエッグ・テクノロジー,大和,2016,927,900,2622,100,850,900,598000,320000,200000,78000,1998,情報・通信業,マザーズ
382,3963,シンクロ・フード,野村,2016,929,2100,2970,100,1960,2100,805000,400000,300000,105000,2003,情報・通信業,マザーズ
383,3474,Ｇ－ＦＡＣＴＯＲＹ,日興,2016,930,3240,5000,100,3080,3240,251800,150000,69000,32800,2003,不動産業,マザーズ
384,3965,キャピタル・アセット・プランニング,野村,2016,1007,2000,4600,100,1960,2000,184000,160000,0,24000,1990,情報・通信業,JASDAQスタンダード
385,4189,ＫＨネオケム,みずほ,2016,1012,1380,1306,100,1330,1670,30376500,2614400,23800000,3962100,2010,化学,東証1部
386,7190,マーキュリアインベストメント,日興,2016,1017,1450,1390,100,1400,1450,1047200,531000,381100,135100,2005,証券商品先物,東証2部
387,3966,ユーザベース,みずほ,2016,1021,2510,2908,100,2190,2510,846700,543000,193300,110400,2008,情報・通信業,マザーズ
388,9142,九州旅客鉄道,三菱,2016,1025,2600,3100,100,2400,2600,160000000,0,160000000,0,1987,陸運業,東証1部
389,6535,アイモバイル,SBI,2016,1027,1320,1230,100,1220,1320,6373800,3330000,2220000,823800,2007,サービス業,マザーズ
390,3548,バロックジャパンリミテッド,大和,2016,1101,2000,1900,100,2000,2240,13776700,4200000,7789800,1786900,2003,小売業,東証1部
391,1438,岐阜造園,東海東京,2016,1101,1150,1191,100,1000,1150,460000,400000,0,60000,1966,建設業,名証2部
392,3267,フィル・カンパニー,SBI,2016,1118,1310,4000,100,1190,1310,345000,200000,100000,45000,2005,建設業,マザーズ
393,6537,ＷＡＳＨハウス,野村,2016,1122,2300,3240,100,2090,2300,1279300,620000,492500,166800,2001,サービス業,マザーズ
394,3967,エルテス,SBI,2016,1129,1790,6510,100,1650,1790,248500,150000,66100,32400,2012,情報・通信業,マザーズ
395,3550,スタジオアタオ,日興,2016,1129,3030,3810,100,2930,3030,727100,51000,610000,66100,2005,小売業,マザーズ
396,5704,ＪＭＣ,野村,2016,1129,960,1816,100,920,960,1150000,970000,30000,150000,1992,非鉄金属,マザーズ
397,7191,イントラスト,みずほ,2016,1207,630,854,100,570,630,2605000,1430000,836000,339000,2006,その他金融業,マザーズ
398,3475,グッドコムアセット,野村,2016,1208,1950,2582,100,1850,1950,634800,377000,175000,82800,2005,不動産業,JASDAQスタンダード
