no,security code,company name,lead manager,offering year,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
47,3658,イーブックイニシアティブジャパン,大和,2011,1028,760,1700,100,700,760,230000,200000,0,30000,2000,情報・通信,マザーズ
48,1383,ベルグアース,野村,2011,1129,740,780,100,740,940,488000,250000,174400,63600,2001,水産・農林業,JASDAQスタンダード
49,6054,リブセンス,大和,2011,1207,990,1800,100,900,990,753200,450000,205000,98200,2006,サービス業,マザーズ
50,3277,サンセイランディック,野村,2011,1213,500,470,100,500,600,1897500,900000,750000,247500,1976,不動産業,JASDAQスタンダード
51,3659,ネクソン,野村,2011,1214,1300,1307,100,1200,1400,75357500,70000000,100000,5257500,2002,情報・通信,東証1部
52,6619,ダブル・スコープ,日興,2011,1216,2500,2300,100,2500,2800,2813000,1503100,943000,366900,2005,電気機器,マザーズ
53,6055,ジャパンマテリアル,東海東京,2011,1219,2650,2440,100,2500,2800,669400,270000,312100,87300,1997,サービス業,東証2部
54,4977,新田ゼラチン,日興,2011,1220,500,462,100,500,570,4170000,3000000,628000,542000,1945,化学,東証2部
55,4583,カイオム・バイオサイエンス,大和,2011,1220,2700,2480,100,2100,2700,893500,188000,589000,116500,2005,医薬品,マザーズ
56,9206,スターフライヤー,大和,2011,1221,3180,5500,100,2900,3180,230000,140000,60000,30000,2002,空運業,東証2部
57,3170,アイセイ薬局,大和,2011,1222,3460,3460,100,3300,3460,286300,249000,0,37300,2000,小売業,JASDAQスタンダード
58,3169,ミサワ,インベ,2011,1222,860,1209,100,760,860,690000,380000,220000,90000,1959,小売業,マザーズ
59,3171,マックスバリュ九州,野村,2012,222,1250,1300,100,1000,1250,1150000,1000000,0,150000,2002,小売業,JASDAQスタンダード
60,3172,ティーライフ,野村,2012,306,510,556,100,480,530,1437500,750000,500000,187500,1983,小売業,JASDAQスタンダード
61,3660,アイスタイル,みずほ,2012,308,840,1630,100,760,840,1084500,450000,525500,109000,1999,情報・通信,マザーズ
62,3173,大阪工機,野村,2012,309,700,685,100,700,720,1058000,800000,120000,138000,1950,卸売業,JASDAQスタンダード
63,3661,エムアップ,大和,2012,314,1130,1987,100,1050,1130,487900,176500,247800,63600,2004,情報・通信,マザーズ
64,7157,ライフネット生命,野村,2012,315,1000,930,100,1000,1200,12373000,8340000,2433000,1600000,2006,保険業,マザーズ
65,6058,ベクトル,SBI,2012,327,1000,1160,100,940,1000,780000,500000,250000,30000,1993,サービス業,マザーズ
66,3662,エイチーム,大和,2012,404,1080,2923,100,1000,1080,350700,300000,5000,45700,2000,情報・通信,マザーズ
67,6059,ウチヤマホールディングス,大和,2012,420,1480,1421,100,1360,1480,1380000,900000,300000,180000,2006,サービス業,JASDAQスタンダード
68,6060,こころネット,大和,2012,425,945,1050,100,900,945,862500,562500,187500,112500,1966,サービス業,JASDAQスタンダード
69,6061,ユニバーサル園芸社,大和,2012,426,1310,1455,100,1250,1310,437000,200000,180000,57000,1974,サービス業,JASDAQスタンダード
70,6062,チャーム･ケア･コーポレーション,大和,2012,427,950,1000,100,900,950,690000,300000,300000,90000,1984,サービス業,JASDAQスタンダード
71,2930,北の達人コーポレーション,日本ア,2012,529,1100,935,100,920,1150,202500,50000,152500,0,2002,食料品,札証アンビシャス
72,6063,日本エマージェンシーアシスタンス,野村,2012,620,1100,1400,100,1100,1200,394600,100000,243200,51400,2003,サービス業,JASDAQスタンダード
73,6618,大泉製作所,SBI,2012,622,350,400,100,290,350,522000,300000,222000,0,1944,電気機器,マザーズ
74,3174,ハピネス・アンド・ディ,インベ,2012,622,1900,2202,100,1750,1900,345000,300000,0,45000,1990,小売業,JASDAQスタンダード
75,3664,モブキャスト,三菱,2012,626,800,2301,100,640,800,768500,350000,338500,80000,2004,情報・通信,マザーズ
76,6064,アクトコール,SBI,2012,713,1700,2500,100,1600,1700,282700,90000,160700,32000,2005,サービス業,マザーズ
77,9419,ワイヤレスゲート,日興,2012,719,1200,2311,100,1150,1200,521400,300000,153400,68000,2004,情報・通信,マザーズ
78,3665,エニグモ,大和,2012,724,1750,4030,100,1550,1750,198300,120000,52500,25800,2004,情報・通信,マザーズ
79,6065,サクセスホールディングス,野村,2012,807,2050,2500,100,1950,2050,437000,140000,240000,57000,2010,サービス業,JASDAQスタンダード
80,9201,日本航空（JAL),大和,2012,919,3790,3810,100,3500,3790,175000000,0,175000000,0,1953,空運業,東証1部
81,3175,エー・ピーカンパニー,野村,2012,925,2350,3305,100,2150,2350,626700,350000,195000,81700,2001,小売業,マザーズ
82,6067,メディアフラッグ,SBI,2012,928,900,2120,100,800,900,207000,50000,130000,27000,2004,サービス業,マザーズ
83,9386,日本コンセプト,野村,2012,1004,1020,938,100,1020,1140,1404100,450000,771000,183100,1994,倉庫・運輸関連業,JASDAQスタンダード
84,6069,トレンダーズ,大和,2012,1019,2550,6500,100,2300,2550,310500,270000,0,40500,2000,サービス業,マザーズ
85,3896,阿波製紙,大和,2012,1023,370,371,100,330,370,2875000,1900000,600000,375000,1943,パルプ・紙,東証2部
86,3176,三洋貿易,三菱,2012,1023,460,444,100,420,460,3289000,2600000,260000,429000,1947,卸売業,東証2部
87,3177,ありがとうサービス,野村,2012,1112,1170,1302,100,1170,1340,368000,70000,250000,48000,2000,小売業,JASDAQスタンダード
88,6070,キャリアリンク,野村,2012,1115,420,846,100,400,440,1587000,600000,780000,207000,1996,サービス業,マザーズ
89,3280,エストラスト,SBI,2012,1121,1350,2513,100,1250,1350,383800,250000,83800,50000,1999,不動産業,マザーズ
90,4584,ジーンテクノサイエンス,野村,2012,1130,1200,1550,100,1200,1500,999900,580000,289900,130000,2001,医薬品,マザーズ
91,6071,ＩＢＪ,SMBC,2012,1206,1450,2610,100,1250,1450,276000,140000,136000,0,2006,サービス業,JASDAQスタンダード
92,3666,テクノスジャパン,大和,2012,1207,1540,1878,100,1380,1540,632500,300000,250000,82500,1994,情報・通信,JASDAQスタンダード
93,3667,ｅｎｉｓｈ,大和,2012,1211,800,2500,100,760,800,1249000,50000,1040000,159000,2009,情報・通信,マザーズ
94,4585,ＵＭＮファーマ,野村,2012,1211,1300,1196,100,1300,1600,3277500,2150000,700000,427500,2004,医薬品,マザーズ
95,3668,コロプラ,大和,2012,1213,3000,5650,100,2700,3000,1452000,780000,540000,132000,2008,情報・通信,マザーズ
96,4929,アジュバンコスメジャパン,野村,2012,1213,1250,1310,100,1250,1350,1150000,750000,250000,150000,1990,化学,東証2部
97,3178,チムニー,野村,2012,1214,1000,945,100,1000,1050,10222000,1000000,7900000,1322000,2009,小売業,東証2部
98,3669,モバイルクリエイト,野村,2012,1219,3000,7000,100,2700,3000,261000,106800,120200,34000,2002,情報・通信,マザーズ
99,7164,全国保証,大和,2012,1219,980,1016,100,930,980,10910900,7350000,2137800,1423100,1981,その他金融業,東証1部
100,2931,ユーグレナ,日興,2012,1220,1700,3900,100,1580,1700,630500,500000,50500,80000,2005,食料品,マザーズ
101,6165,パンチ工業,大和,2012,1220,560,530,100,510,560,2185000,1300000,600000,285000,1975,機械,東証2部
102,3179,シュッピン,野村,2012,1220,330,550,100,310,330,1092500,750000,200000,142500,2005,小売業,マザーズ
103,6072,地盤ネット,野村,2012,1221,720,1412,100,700,720,901000,384000,400000,117000,2008,サービス業,マザーズ
104,3261,グランディーズ,HS,2012,1221,360,368,100,340,360,250000,250000,0,0,2006,不動産業,福証Qボード
105,4586,メドレックス,野村,2013,213,1000,2200,100,800,1000,2679900,2202200,128200,349500,2002,医薬品,マザーズ
106,3180,ビューティガレージ,SBI,2013,214,2300,4160,100,2100,2300,239000,95000,124000,20000,2003,卸売業,マザーズ
107,3181,買取王国,野村,2013,214,900,2000,100,800,900,431000,215000,160000,56000,1999,小売業,JASDAQスタンダード
108,3670,協立情報通信,みずほ,2013,220,1500,5000,100,1450,1500,402500,150000,200000,52500,1965,情報・通信,JASDAQスタンダード
109,3671,ソフトマックス,野村,2013,312,1300,5510,100,1100,1300,575000,300000,200000,75000,1974,情報・通信,マザーズ
110,3182,オイシックス,みずほ,2013,313,1200,3700,100,1000,1200,805000,500000,200000,105000,1997,小売業,マザーズ
111,3672,オルトプラス,野村,2013,314,1500,4015,100,1400,1500,1559500,900000,456500,203000,2010,情報・通信,マザーズ
112,2588,ウォーターダイレクト,野村,2013,315,1200,3600,100,1000,1200,287500,250000,0,37500,2006,食料品,マザーズ
113,9025,鴻池運輸,大和,2013,315,1020,1404,100,980,1020,6872000,2550000,3425700,896300,1945,陸運業,東証1部
114,7215,ファルテック,大和,2013,319,3940,4150,100,3750,3940,1007500,347500,560000,100000,2004,輸送用機器,東証2部
115,6073,アサンテ,三菱,2013,319,930,1034,100,900,930,2990000,1000000,1600000,390000,1973,サービス業,東証2部
116,3673,ブロードリーフ,野村,2013,322,1080,1200,100,1040,1080,21593000,2300000,16480000,2813000,2009,情報・通信,東証1部
117,1419,タマホーム,大和,2013,327,980,1700,100,870,980,9244800,6500000,1539000,1205800,1998,建設業,東証1部
118,1420,サンヨーホームズ,野村,2013,409,700,1250,100,600,700,2070000,1800000,0,270000,1996,建設業,東証2部
119,3674,オークファン,日興,2013,425,2600,10480,100,2280,2600,368000,242000,78000,48000,2007,情報・通信,マザーズ
120,4587,ペプチドリーム,みずほ,2013,611,2500,7900,100,1920,2500,3105000,1660000,1040000,405000,2006,医薬品,マザーズ
121,6248,横田製作所,みずほ,2013,613,720,1702,100,700,720,563700,250200,240000,73500,1953,機械,JASDAQスタンダード
122,4978,リプロセル,日興,2013,626,3200,17800,100,2830,3200,1491200,642000,654700,194500,2003,化学,JASDAQグロース
123,6074,ジェイエスエス,SBI,2013,627,950,1200,100,850,950,575000,300000,200000,75000,1976,サービス業,JASDAQスタンダード
124,3184,ＩＣＤＡホールディングス,野村,2013,627,1900,3000,100,1800,1900,410000,297000,60000,53000,2009,小売業,JASDAQスタンダード
125,2587,サントリー食品インターナショナル,野村,2013,703,3100,3120,100,3000,3800,125200000,93000000,26000000,6200000,2009,食料品,東証1部
126,6075,フォトクリエイト,SBI,2013,710,1670,3775,100,1470,1670,230000,100000,100000,30000,2002,サービス業,マザーズ
127,3185,夢展望,野村,2013,710,2600,5210,100,2400,2600,460300,300000,100300,60000,1998,,マザーズ
128,3186,ネクステージ,野村,2013,730,1700,2011,100,1500,1700,824500,637000,80000,107500,1998,小売業,マザーズ
129,6076,アメイズ,大和,2013,813,730,797,100,700,730,1414500,1230000,0,184500,1924,サービス業,福証
130,6077,Ｎ・フィールド,野村,2013,829,1500,3100,100,1300,1500,471500,355000,55000,61500,2003,サービス業,マザーズ
131,3187,サンワカンパニー,野村,2013,913,950,3500,100,870,950,437000,380000,0,57000,1979,小売業,マザーズ
132,3288,オープンハウス,大和,2013,920,1780,2100,100,1580,1780,8375000,5400000,2975000,400000,1996,不動産業,東証1部
133,5698,エンビプロ・ホールディングス,野村,2013,925,700,1040,100,630,700,1863000,1620000,0,243000,2010,鉄鋼,東証2部
134,6078,バリューＨＲ,野村,2013,1004,2000,4035,100,1800,2000,414000,245000,115000,54000,2001,サービス業,JASDAQスタンダード
135,6079,エナリス,野村,2013,1008,280,717,100,240,280,8930000,4170000,3600000,1160000,2008,サービス業,マザーズ
136,3677,システム情報,SBI,2013,1022,740,3500,100,700,740,690000,400000,200000,90000,1980,情報・通信,JASDAQスタンダード
137,3189,ＡＮＡＰ,大和,2013,1119,1000,5100,100,960,1000,540500,320000,150000,70500,1992,小売業,JASDAQスタンダード
