security code,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
3918,8月4日,2530,6820,100,2330,2530,414000,200000,160000,54000,2005,情報・通信業,マザーズ
6049,7月30日,1930,2010,100,1630,1930,3358000,1230000,1690000,438000,2006,サービス業,マザーズ
3917,7月16日,1200,6350,100,1150,1200,379500,250000,80000,49500,2008,情報・通信業,マザーズ
7781,7月10日,2130,2758,100,2030,2130,483000,260000,160000,63000,1967,精密機器,JASDAQスタンダード
7812,7月8日,960,1751,100,910,960,463900,191000,213900,59000,1984,その他製品,JASDAQスタンダード
3138,7月7日,2650,6000,100,2500,2650,206700,50000,129800,26900,2002,小売業,マザーズ
6239,6月29日,1600,2250,100,1440,1600,450000,300000,100000,50000,2004,機械,JASDAQスタンダード
3137,6月25日,765,1546,100,725,765,1156900,300000,706000,150900,2000,小売業,マザーズ
7780,6月25日,1700,2950,100,1630,1700,2645000,1500000,800000,345000,1943,精密機器,東証1部
6166,6月24日,1700,1901,100,1640,1700,2245900,600000,1353000,292900,1970,機械,マザーズ
3136,6月24日,600,1320,100,550,600,184000,100000,60000,24000,1964,小売業,札証アンビシャス
3916,6月18日,1300,4500,100,1200,1300,552000,250000,230000,72000,2002,情報・通信業,JASDAQスタンダード
3135,6月17日,1500,4005,100,1430,1500,494500,200000,230000,64500,2006,小売業,マザーズ
4593,6月16日,1200,1470,100,1100,1200,6969000,6060000,0,909000,2011,医薬品,マザーズ
9417,6月16日,1580,7030,100,1500,1580,391000,280000,60000,51000,1947,情報・通信業,JASDAQスタンダード
3915,4月30日,1700,7650,100,1580,1700,230000,200000,0,30000,2006,情報・通信業,マザーズ
6048,4月30日,2750,4150,100,2450,2750,690000,400000,200000,90000,2005,サービス業,マザーズ
6046,4月28日,2400,3070,100,2100,2400,880000,250000,550000,80000,2011,サービス業,マザーズ
6047,4月28日,1520,1520,100,1460,1520,6796500,3500000,2410000,886500,2012,サービス業,マザーズ
3914,4月28日,2390,8040,100,2090,2390,287500,200000,50000,37500,2001,情報・通信業,マザーズ
6044,4月24日,1540,2112,100,1440,1540,575000,250000,250000,75000,1977,サービス業,JASDAQスタンダード
6045,4月24日,1750,2680,100,1630,1750,424000,369000,0,55000,2005,サービス業,マザーズ
6040,4月22日,3570,3925,100,3330,3570,715300,62000,560000,93300,2005,サービス業,マザーズ
3458,4月21日,3620,3355,100,3450,3620,1676500,1457900,0,218600,2009,不動産業,東証2部
3134,4月20日,2530,4230,100,2230,2530,456500,310000,87000,59500,1998,小売業,マザーズ
3133,4月17日,1020,1800,100,950,1020,690000,300000,300000,90000,2003,小売業,マザーズ
4592,4月8日,2000,1710,100,1600,2000,7475000,4000000,2500000,975000,2013,医薬品,マザーズ
3913,3月27日,2520,4000,100,2400,2520,432500,168400,209100,55000,2007,情報・通信業,マザーズ
3912,3月26日,1410,2812,100,1310,1410,1081000,245000,702000,134000,2001,情報・通信業,マザーズ
7813,3月26日,3260,5550,100,3000,3260,185600,120000,41400,24200,1992,その他製品,マザーズ
6039,3月26日,1130,1630,100,1080,1130,834000,133000,592300,108700,2005,サービス業,マザーズ
3911,3月25日,920,1032,100,900,920,6440000,2400000,3200000,840000,2011,情報・通信業,マザーズ
3457,3月25日,3600,5300,100,3430,3600,214000,123000,63100,27900,2009,不動産業,マザーズ
3131,3月25日,2740,3075,100,2640,2740,144900,100000,26000,18900,1995,卸売業,JASDAQスタンダード
3445,3月24日,2750,2100,100,2550,2750,1242000,330000,750000,162000,2010,金属製品,マザーズ
6038,3月24日,1400,2050,100,1300,1400,1091000,350000,598700,142300,2000,サービス業 ウェブメディアやコンテンツの運営。広告収入のほか、データ提供やキャラクタービジネスのサポートによる収入を得ている。 主力サイトは自動車情報「レスポンス」、総合情報技術(IT)情報「RBB TODAY」、ゲーム情報「インサイド」。企業の合併・買収(M&A)でメディア・コンテンツ対象を広げており、情報・通信、自動車・関連品からファッション・アクセサリーまで7業種に及ぶ。 2000年4月にインターネット総合研究所（ＩＲＩ）の子会社として設立された。日産自動車よりMBO（経営陣が参加する企業買収）した旧イードを05年9月に子会社化。07年7月の完全子会社化を経て10年6月に吸収合併し、新イードに社名変更した。その後11年4～8月にオリックス傘下にあったＩＲＩが株式を全て譲渡し、独立した。 1.コンテンツマーケティングプラットホーム（CMP）事業 ウェブメディアやコンテンツ（2015年1月末時点で34個）の運営、パズル雑誌の発行を通じ、顧客企業より支払われる広告料金により収入を得ている。スマートフォンアプリなどの提供を通じ、企業キャラクターの認知拡大のサポートも行っている。 顧客企業へはインターネット広告に加え、データ・コンテンツなどのマーケティングサービスを提供している。データコンテンツとは、ポータルサイトなどに提供する各メディアのニュース記事や、通信速度を測定する「RBB TODAY SPEED TEST」のシステムとデータ、車の燃費を管理する「e燃費」のシステムなど。 2.コンテンツマーケティングソリューション（CMS）事業 （1）リサーチソリューション 大規模な定量調査から生活者個人に対する定性調査までを提供している。高度なネットリサーチからリアルな行動観察まで、幅広く対応している。 （2）ECソリューション ECサイト構築支援システム「marbleASP」を提供している。15年1月末時点で通常ECサイトで23サイト、ネットスーパーサイト6サイト、お歳暮/お中元システム導入は500サイトで利用されている。 2014年6月期の売上高構成比は、CMP事業68.3％、CMS事業31.7％。,マザーズ
1430,3月24日,1600,2000,100,1530,1600,738800,252500,390000,96300,2011,建設業,マザーズ
3909,3月19日,1800,5290,100,1680,1800,345000,150000,150000,45000,1996,情報・通信業,マザーズ
3224,3月19日,1800,2010,100,1700,1800,439600,200000,182300,57300,2000,小売業,マザーズ
3223,3月19日,1650,1903,100,1500,1650,290900,150000,103000,37900,2004,小売業,JASDAQスタンダード
3908,3月17日,3620,8600,100,3260,3620,187400,83400,79600,24400,2001,情報・通信業,マザーズ
3910,3月17日,3500,15120,100,3300,3500,161000,80000,60000,21000,1989,情報・通信業,JASDAQスタンダード
3907,2月23日,4900,9900,100,4200,4900,632500,270000,280000,82500,1999,情報・通信業,マザーズ
1384,2月20日,460,501,100,430,460,2530000,1300000,900000,330000,1949,水産・農林業,東証2部
3906,2月19日,2800,6040,100,2600,2800,355100,200000,108800,46300,2005,情報・通信業,マザーズ
3454,2月18日,2040,2090,100,1920,2040,2875000,1300000,1200000,375000,2004,不動産業,マザーズ
6037,2月18日,1770,2700,100,1600,1770,770500,600000,70000,100500,2005,サービス業,マザーズ
6036,2月12日,2120,3160,100,2000,2120,920000,600000,200000,120000,1993,サービス業,マザーズ
3475,12月8日,1950,2582,100,1850,1950,634800,377000,175000,82800,2005,不動産業,JASDAQスタンダード
7191,12月7日,630,854,100,570,630,2605000,1430000,836000,339000,2006,その他金融業,マザーズ
5704,11月29日,960,1816,100,920,960,1150000,970000,30000,150000,1992,非鉄金属,マザーズ
3550,11月29日,3030,3810,100,2930,3030,727100,51000,610000,66100,2005,小売業,マザーズ
3967,11月29日,1790,6510,100,1650,1790,248500,150000,66100,32400,2012,情報・通信業,マザーズ
6537,11月22日,2300,3240,100,2090,2300,1279300,620000,492500,166800,2001,サービス業,マザーズ
3267,11月18日,1310,4000,100,1190,1310,345000,200000,100000,45000,2005,建設業,マザーズ
1438,11月1日,1150,1191,100,1000,1150,460000,400000,0,60000,1966,建設業,名証2部
3548,11月1日,2000,1900,100,2000,2240,13776700,4200000,7789800,1786900,2003,小売業,東証1部
6535,10月27日,1320,1230,100,1220,1320,6373800,3330000,2220000,823800,2007,サービス業,マザーズ
9142,10月25日,2600,3100,100,2400,2600,160000000,0,160000000,0,1987,陸運業,東証1部
3966,10月21日,2510,2908,100,2190,2510,846700,543000,193300,110400,2008,情報・通信業,マザーズ
7190,10月17日,1450,1390,100,1400,1450,1047200,531000,381100,135100,2005,証券商品先物,東証2部
4189,10月12日,1380,1306,100,1330,1670,30376500,2614400,23800000,3962100,2010,化学,東証1部
3965,10月7日,2000,4600,100,1960,2000,184000,160000,0,24000,1990,情報・通信業,JASDAQスタンダード
3474,9月30日,3240,5000,100,3080,3240,251800,150000,69000,32800,2003,不動産業,マザーズ
3963,9月29日,2100,2970,100,1960,2100,805000,400000,300000,105000,2003,情報・通信業,マザーズ
3961,9月27日,900,2622,100,850,900,598000,320000,200000,78000,1998,情報・通信業,マザーズ
3962,9月27日,1200,2999,100,1080,1200,490000,280000,210000,0,2003,情報・通信業,マザーズ
3960,9月26日,2040,4315,100,1860,2040,336900,268000,25000,43900,2006,情報・通信業,マザーズ
3940,9月16日,960,1450,100,920,960,547900,342000,134500,71400,1986,情報・通信業,JASDAQスタンダード
3547,9月14日,3900,4425,100,3610,3900,416800,250000,112500,54300,2002,小売業,マザーズ
3939,9月14日,3000,8600,100,2760,3000,253000,54000,166000,33000,2000,情報・通信業,マザーズ
6533,9月14日,1540,2900,100,1400,1540,414500,130000,230500,54000,2009,サービス業,マザーズ
6532,9月2日,2100,1963,100,2100,2360,13489900,50000,11680400,1759500,2014,サービス業,マザーズ
3545,8月31日,1630,2300,100,1500,1630,1265000,1100000,0,165000,2004,小売業,マザーズ
6531,7月28日,1700,2770,100,1500,1700,189500,90000,74800,24700,2003,サービス業,マザーズ
3469,7月21日,1110,2520,100,1010,1110,506000,200000,240000,66000,2006,不動産業,JASDAQスタンダード
6200,7月21日,520,810,100,460,520,2242500,700000,1250000,292500,2002,サービス業,マザーズ
3938,7月15日,3300,4900,100,2900,3300,40250000,35000000,0,5250000,2000,情報・通信業,東証1部
6199,7月1日,1500,3900,100,1360,1500,936100,406000,408000,122100,1987,サービス業,マザーズ
3542,6月28日,1600,2000,100,1440,1600,966000,410000,430000,126000,2004,小売業,マザーズ
6198,6月27日,1950,3870,100,1850,1950,569200,150000,345000,74200,2009,サービス業,マザーズ
6193,6月23日,1090,1235,100,1030,1090,1246600,120000,964000,162600,1999,サービス業,マザーズ
7187,6月22日,3100,4170,100,3000,3100,327000,150000,135000,42000,2004,その他金融業,マザーズ
3937,6月21日,2490,8350,100,2290,2490,126500,110000,0,16500,2005,情報・通信業,マザーズ
6196,6月21日,3440,7770,100,2940,3440,261600,166000,61500,34100,1997,サービス業,マザーズ
2820,6月17日,1690,1751,100,1650,1690,1230500,720000,350000,160500,1975,食料品,JASDAQスタンダード
3541,6月16日,1050,1870,100,1010,1050,425500,270000,100000,55500,2007,卸売業,マザーズ
6194,6月15日,5400,12720,100,5030,5400,257600,95000,129000,33600,2003,サービス業,マザーズ
6195,6月15日,1400,3220,100,1300,1400,308700,110000,158500,40200,1993,サービス業,マザーズ
3539,4月21日,1010,1040,100,910,1010,4830000,3750000,450000,630000,1978,小売業,東証2部
3936,4月19日,2960,14000,100,2760,2960,149500,100000,30000,19500,2004,情報・通信業,マザーズ
3935,4月15日,1630,3165,100,1510,1630,279400,160000,83000,36400,1999,情報・通信業,マザーズ
3504,4月8日,680,757,100,620,680,1823800,1016000,642000,165800,2012,繊維製品,名証2部
6192,4月5日,950,2750,100,850,950,540000,470000,0,70000,2005,サービス業,マザーズ
3922,3月31日,1340,2130,100,1220,1340,874000,460000,300000,114000,2005,情報・通信業,マザーズ
6191,3月31日,1800,2670,100,1660,1800,1146700,620000,377200,149500,2007,サービス業,マザーズ
3538,3月24日,1880,1729,100,1730,1880,602700,400100,124000,78600,2007,小売業,JASDAQスタンダード
3934,3月24日,1980,3310,100,1680,1980,517500,250000,200000,67500,1996,情報・通信業,マザーズ
3933,3月22日,810,2151,100,730,810,525500,140000,317000,68500,1997,情報・通信業,JASDAQスタンダード
7185,3月18日,830,830,100,800,830,1265000,570000,530000,165000,2004,証券商品先物,JASDAQスタンダード
3467,3月18日,1730,3505,100,1670,1730,276000,240000,0,36000,2009,不動産業,JASDAQスタンダード
6189,3月18日,2000,3200,100,1900,2000,2076300,1250000,576300,250000,2015,サービス業,マザーズ
6190,3月18日,2400,2350,100,1800,2400,471500,300000,110000,61500,2002,サービス業,マザーズ
6237,3月18日,2000,2050,100,1900,2000,690000,600000,0,90000,1956,機械,東証2部
9466,3月18日,1440,1230,100,1300,1440,1840000,700000,900000,240000,1979,情報・通信業,マザーズ
3932,3月17日,1930,1775,100,1800,1930,3795000,2200000,1100000,495000,2010,情報・通信業,マザーズ
3537,3月16日,1350,2001,100,1330,1350,345000,200000,100000,45000,1960,卸売業,JASDAQスタンダード
6188,3月15日,890,1010,100,800,890,809600,352000,352000,105600,1984,サービス業,JASDAQスタンダード
6615,3月15日,3000,2480,100,3000,3100,2372400,1613000,450000,309400,1968,電気機器,東証1部
7184,3月15日,470,500,100,440,470,6500000,5660000,0,840000,1944,銀行業 富山県の第二地方銀行。銀行業務を中心に、リース業務などの金融サービスを提供している。店舗数は2016年1月末現在、計66店（富山県56店、石川県3店、新潟県3店、岐阜県2店、東京都1店、大阪府1店）。2015年末現在、預金合計1兆1390億円、総資産は1兆1823億円。 1944年10月に富山の無尽3社が合併し、富山合同無尽として設立された。1951年10月に富山相互銀行に商号を変更。1989年2月に普通銀行に転換し、現商号となった。 1.銀行業 預金業務、貸し出し業務、内国為替業務、外国為替業務、商品有価証券売買業務などを行っている。 2.リース業 子会社でリース業務を展開している。 3.その他 クレジット業務や信用保証業務などの事業を展開している。 2015年3月期の経常収益構成比は、銀行業86.5％（貸し出し業務43.4％、有価証券投資業務32.6％）、リース業11.9％、その他1.6％。業種別貸出比率上位は地方公共団体19.14％、製造業14.03％。2015年3月末の連結自己資本比率（国内基準）は12.00％。,東証1部
6187,3月14日,1000,1880,100,930,1000,1768700,320000,1218000,230700,2005,サービス業,マザーズ
1436,3月11日,1890,1741,100,1750,1890,1170000,1070000,0,100000,2009,建設業,マザーズ
2424,3月9日,4370,4650,100,4000,4370,230000,200000,0,30000,1998,サービス業,マザーズ
2884,3月4日,880,1320,100,820,880,345000,300000,0,45000,2008,食料品,マザーズ
7811,3月3日,1470,1480,100,1440,1470,1288900,550000,570800,168100,1988,その他製品,東証2部
3931,3月2日,1280,3215,100,1220,1280,368000,320000,0,48000,2016,情報・通信業,マザーズ
3930,2月24日,800,3025,100,700,800,868200,370000,385000,113200,2001,情報・通信業,マザーズ
