no,Offer Date,security code,industry,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year
59,20120222,3171,27,1,1,0,0,0,0,1250,1300,100,1000,1250,1150000,1000000,0,150000,2002
60,20120306,3172,27,1,1,0,0,0,0,510,556,100,480,530,1437500,750000,500000,187500,1983
61,20120308,3660,25,1,0,0,0,1,0,840,1630,100,760,840,1084500,450000,525500,109000,1999
62,20120309,3173,26,1,1,0,0,0,0,700,685,100,700,720,1058000,800000,120000,138000,1950
63,20120314,3661,25,1,0,1,0,0,0,1130,1987,100,1050,1130,487900,176500,247800,63600,2004
64,20120315,7157,30,1,1,0,0,0,0,1000,930,100,1000,1200,12373000,8340000,2433000,1600000,2006
65,20120327,6058,33,1,0,0,0,0,1,1000,1160,100,940,1000,780000,500000,250000,30000,1993
66,20120404,3662,25,1,0,1,0,0,0,1080,2923,100,1000,1080,350700,300000,5000,45700,2000
67,20120420,6059,33,1,0,1,0,0,0,1480,1421,100,1360,1480,1380000,900000,300000,180000,2006
68,20120425,6060,33,1,0,1,0,0,0,945,1050,100,900,945,862500,562500,187500,112500,1966
69,20120426,6061,33,1,0,1,0,0,0,1310,1455,100,1250,1310,437000,200000,180000,57000,1974
70,20120427,6062,33,1,0,1,0,0,0,950,1000,100,900,950,690000,300000,300000,90000,1984
71,20120529,2930,4,1,0,0,0,0,0,1100,935,100,920,1150,202500,50000,152500,0,2002
72,20120620,6063,33,1,1,0,0,0,0,1100,1400,100,1100,1200,394600,100000,243200,51400,2003
73,20120622,6618,16,1,0,0,0,0,1,350,400,100,290,350,522000,300000,222000,0,1944
74,20120622,3174,27,1,0,0,0,0,0,1900,2202,100,1750,1900,345000,300000,0,45000,1990
75,20120626,3664,25,1,0,0,0,0,0,800,2301,100,640,800,768500,350000,338500,80000,2004
76,20120713,6064,33,1,0,0,0,0,1,1700,2500,100,1600,1700,282700,90000,160700,32000,2005
77,20120719,9419,25,1,0,0,1,0,0,1200,2311,100,1150,1200,521400,300000,153400,68000,2004
78,20120724,3665,25,1,0,1,0,0,0,1750,4030,100,1550,1750,198300,120000,52500,25800,2004
79,20120807,6065,33,1,1,0,0,0,0,2050,2500,100,1950,2050,437000,140000,240000,57000,2010
80,20120919,9201,22,0,0,1,0,0,0,3790,3810,100,3500,3790,175000000,0,175000000,0,1953
81,20120925,3175,27,1,1,0,0,0,0,2350,3305,100,2150,2350,626700,350000,195000,81700,2001
82,20120928,6067,33,1,0,0,0,0,1,900,2120,100,800,900,207000,50000,130000,27000,2004
83,20121004,9386,24,1,1,0,0,0,0,1020,938,100,1020,1140,1404100,450000,771000,183100,1994
84,20121019,6069,33,1,0,1,0,0,0,2550,6500,100,2300,2550,310500,270000,0,40500,2000
85,20121023,3896,6,0,0,1,0,0,0,370,371,100,330,370,2875000,1900000,600000,375000,1943
86,20121023,3176,26,0,0,0,0,0,0,460,444,100,420,460,3289000,2600000,260000,429000,1947
87,20121112,3177,27,1,1,0,0,0,0,1170,1302,100,1170,1340,368000,70000,250000,48000,2000
88,20121115,6070,33,1,1,0,0,0,0,420,846,100,400,440,1587000,600000,780000,207000,1996
89,20121121,3280,32,1,0,0,0,0,1,1350,2513,100,1250,1350,383800,250000,83800,50000,1999
90,20121130,4584,8,1,1,0,0,0,0,1200,1550,100,1200,1500,999900,580000,289900,130000,2001
91,20121206,6071,33,1,0,0,0,0,0,1450,2610,100,1250,1450,276000,140000,136000,0,2006
92,20121207,3666,25,1,0,1,0,0,0,1540,1878,100,1380,1540,632500,300000,250000,82500,1994
93,20121211,3667,25,1,0,1,0,0,0,800,2500,100,760,800,1249000,50000,1040000,159000,2009
94,20121211,4585,8,1,1,0,0,0,0,1300,1196,100,1300,1600,3277500,2150000,700000,427500,2004
95,20121213,3668,25,1,0,1,0,0,0,3000,5650,100,2700,3000,1452000,780000,540000,132000,2008
96,20121213,4929,7,0,1,0,0,0,0,1250,1310,100,1250,1350,1150000,750000,250000,150000,1990
97,20121214,3178,27,0,1,0,0,0,0,1000,945,100,1000,1050,10222000,1000000,7900000,1322000,2009
98,20121219,3669,25,1,1,0,0,0,0,3000,7000,100,2700,3000,261000,106800,120200,34000,2002
99,20121219,7164,31,0,0,1,0,0,0,980,1016,100,930,980,10910900,7350000,2137800,1423100,1981
100,20121220,2931,4,1,0,0,1,0,0,1700,3900,100,1580,1700,630500,500000,50500,80000,2005
101,20121220,6165,15,0,0,1,0,0,0,560,530,100,510,560,2185000,1300000,600000,285000,1975
102,20121220,3179,27,1,1,0,0,0,0,330,550,100,310,330,1092500,750000,200000,142500,2005
103,20121221,6072,33,1,1,0,0,0,0,720,1412,100,700,720,901000,384000,400000,117000,2008
104,20121221,3261,32,1,0,0,0,0,0,360,368,100,340,360,250000,250000,0,0,2006
105,20130213,4586,8,1,1,0,0,0,0,1000,2200,100,800,1000,2679900,2202200,128200,349500,2002
106,20130214,3180,26,1,0,0,0,0,1,2300,4160,100,2100,2300,239000,95000,124000,20000,2003
107,20130214,3181,27,1,1,0,0,0,0,900,2000,100,800,900,431000,215000,160000,56000,1999
108,20130220,3670,25,1,0,0,0,1,0,1500,5000,100,1450,1500,402500,150000,200000,52500,1965
109,20130312,3671,25,1,1,0,0,0,0,1300,5510,100,1100,1300,575000,300000,200000,75000,1974
110,20130313,3182,27,1,0,0,0,1,0,1200,3700,100,1000,1200,805000,500000,200000,105000,1997
111,20130314,3672,25,1,1,0,0,0,0,1500,4015,100,1400,1500,1559500,900000,456500,203000,2010
112,20130315,2588,4,1,1,0,0,0,0,1200,3600,100,1000,1200,287500,250000,0,37500,2006
113,20130315,9025,21,0,0,1,0,0,0,1020,1404,100,980,1020,6872000,2550000,3425700,896300,1945
114,20130319,7215,17,0,0,1,0,0,0,3940,4150,100,3750,3940,1007500,347500,560000,100000,2004
115,20130319,6073,33,0,0,0,0,0,0,930,1034,100,900,930,2990000,1000000,1600000,390000,1973
116,20130322,3673,25,0,1,0,0,0,0,1080,1200,100,1040,1080,21593000,2300000,16480000,2813000,2009
117,20130327,1419,3,0,0,1,0,0,0,980,1700,100,870,980,9244800,6500000,1539000,1205800,1998
118,20130409,1420,3,0,1,0,0,0,0,700,1250,100,600,700,2070000,1800000,0,270000,1996
119,20130425,3674,25,1,0,0,1,0,0,2600,10480,100,2280,2600,368000,242000,78000,48000,2007
120,20130611,4587,8,1,0,0,0,1,0,2500,7900,100,1920,2500,3105000,1660000,1040000,405000,2006
121,20130613,6248,15,1,0,0,0,1,0,720,1702,100,700,720,563700,250200,240000,73500,1953
122,20130626,4978,7,1,0,0,1,0,0,3200,17800,100,2830,3200,1491200,642000,654700,194500,2003
123,20130627,6074,33,1,0,0,0,0,1,950,1200,100,850,950,575000,300000,200000,75000,1976
124,20130627,3184,27,1,1,0,0,0,0,1900,3000,100,1800,1900,410000,297000,60000,53000,2009
125,20130703,2587,4,0,1,0,0,0,0,3100,3120,100,3000,3800,125200000,93000000,26000000,6200000,2009
126,20130710,6075,33,1,0,0,0,0,1,1670,3775,100,1470,1670,230000,100000,100000,30000,2002
127,20130710,3185,27,1,1,0,0,0,0,2600,5210,100,2400,2600,460300,300000,100300,60000,1998
